longitude,latitude,roads_centroids
-0.5122495090311795,43.18402720585801,-336.54877765259994
-0.5123780517012284,43.18627571891839,-288.59979576819865
-0.512506603775046,43.188524230663845,-246.90081388379744
-0.5126351652536659,43.1907727410909,-211.45183199939621
-0.512763736138118,43.1930212501961,-182.25285011499489
-0.5128923164294347,43.195269757975915,-159.30386823059357
-0.5130209061286471,43.19751826442689,-142.6048863461923
-0.5131495052367877,43.19976676954555,-132.15590446179101
-0.5132781137548886,43.202015273328406,-127.95692257738972
-0.5134067316839821,43.20426377577196,-130.0079383010584
-0.5135353590251006,43.20651227687277,-106.97289471463668
-0.5136639957792764,43.20876077662731,-77.2444399524517
-0.5137926419475424,43.21100927503215,-53.765985190266704
-0.5139212975309313,43.21325777208375,-36.537530428081709
-0.5140499625304764,43.21550626777868,-25.559075665896721
-0.5141786369472107,43.217754762113444,-20.830620903711726
-0.5143073207821672,43.22000325508454,-22.352166141526734
-0.5144360140363802,43.222251746688514,-30.123711379341742
-0.5145647167108828,43.224500236921855,-44.145256617156754
-0.5146934288067084,43.226748725781114,-64.416801854971766
-0.5148221503248915,43.22899721326278,-90.938347092786785
-0.5149508812664666,43.23124569936337,-123.70989233060178
-0.5150796216324665,43.23349418407943,-162.73143756841679
-0.5152083714239268,43.23574266740747,-208.00298280623178
-0.5153371306418814,43.237991149343976,-237.96485299470123
-0.5154658992873662,43.24023962988551,-228.74465147891323
-0.5155946773614133,43.24248810902854,-225.77444996269196
-0.5157234648650604,43.24473658676964,-229.05424844647067
-0.5158522617993423,43.246985063105285,-238.58404693024934
-0.5159810681652928,43.249233538032016,-254.36384541402808
-0.5161098839639486,43.25148201154634,-276.39364389780678
-0.5162387091963455,43.25373048364476,-304.67344238158546
-0.516367543863518,43.255978954323815,-339.20324086536425
-0.5164963879665029,43.25822742358002,-379.98303934914293
-0.5166252415063358,43.26047589140987,-427.0128378329216
-0.5167541044840533,43.26272435780989,-480.29263631670028
-0.5168829769006914,43.26497282277659,-539.82243480047919
-0.517011858757287,43.26722128630653,-248.58804601938979
-0.517140750054876,43.269469748396176,-268.90065164904166
-0.5172696507944963,43.27171820904207,-295.46325727869333
-0.5173985609771842,43.273966668240696,-328.27586290834523
-0.5175274806039769,43.27621512598862,-367.33840238373409
-0.5176564096759115,43.27846358228231,-381.62537336224159
-0.5177853481940254,43.280712037118306,-392.19509510153193
-0.5179142961593561,43.282960490493124,-390.60600588908164
-0.5180432535729419,43.28520894240326,-394.0319854851918
-0.5181722204358201,43.28745739284524,-403.7079650762131
-0.5183011967490291,43.289705841815596,-419.63394466723446
-0.5184301825136066,43.29195428931083,-441.80992425825576
-0.5185591777305907,43.294202735327424,-470.23590026668955
-0.5186881824010213,43.29645117986195,-499.8525988625475
-0.5188171965259354,43.29869962291089,-523.19261112401296
-0.518946220106373,43.30094806447077,-552.77625303722687
-0.5190752531433726,43.30319650453809,-588.60989495029435
-0.5192042956379729,43.30544494310937,-630.69353686336194
-0.5193333475912136,43.30769338018113,-48.478234515163983
-0.5194624090041337,43.30994181574988,-48.478234515152302
-0.5195914798777734,43.31219024981215,-48.478233225051461
-0.5197205602131714,43.31443868236442,-47.784932367050395
-0.5198496500113683,43.316687113403226,-47.998526819209992
-0.5199787492734043,43.31893554292507,-419.21975576671662
-0.5201078580003186,43.32118397092646,-49.173046974994719
-0.5202369761931516,43.323432397403955,-48.613431187059298
-0.5203661038529453,43.325680822354,-47.786752658966527
-0.5204952409807388,43.32792924577316,-48.479899794434722
-0.5206243875775727,43.330177667657935,-47.78675261209608
-0.520753543644489,43.33242608800484,-48.479900070948403
-0.5208827091825283,43.33467450681035,-47.786649434936884
-0.5210118841927313,43.33692292407104,-809.15795489465779
-0.5211410686761401,43.33917133978337,-755.9857375123371
-0.5212702626337959,43.341419753943875,-709.05971364950835
-0.5213994660667404,43.34366816654908,-48.475465197366901
-0.5215286789760155,43.345916577595474,-633.84426994261651
-0.5216579013626622,43.34816498707955,-605.29948033520475
-0.5217871332277244,43.35041339499789,-579.27116334864138
-0.5219163745722438,43.35266180134694,-507.54968641004746
-0.522045625397262,43.354910206123236,-442.03544363660501
-0.5221748857038222,43.3571586093233,-51.805761571939811
-0.5223041554929676,43.359407010943634,-329.75291810524419
-0.5224334347657399,43.36165541098073,-282.98398596224689
-0.5225627235231836,43.36390380943112,-242.46272604970309
-0.5226920217663408,43.366152206291304,-208.18862511668272
-0.5228213294962547,43.36840060155783,-180.16107655269602
-0.5229506467139703,43.37064899522715,-158.37937318278696
-0.5230799734205296,43.372897387295815,-142.84270446808827
-0.5232093096169768,43.37514577776032,-133.55016067518906
-0.523338655304357,43.377394166617194,-130.50074688894503
-0.5234680104837126,43.37964255386293,-133.69340956739526
-0.5235973751560892,43.381890939494035,-143.12707736383499
-0.5237267493225302,43.38413932350701,-158.80071594166773
-0.5238561329840813,43.386387705898414,-180.71339353079716
-0.5239855261417867,43.38863608666471,-208.8643505373638
-0.5241149287966913,43.390884465802415,-243.25306364628773
-0.5242443409498393,43.39313284330805,-283.87929380853649
-0.5243737626022773,43.39538121917811,-330.74310919614402
-0.52450319375505,43.397629593409135,-383.84487858987012
-0.524632634409203,43.399877965997604,-443.18523652307215
-0.5247620845657808,43.402126336940015,-508.76502692616577
-0.5248915442258308,43.404374706232915,-580.58523529586978
-0.5091768079181382,43.18412122524433,-303.06098752391239
-0.5093052383941549,43.18636974169478,-255.1120056395111
-0.5094336782657615,43.188618256830395,-213.41302375510989
-0.5095621275339904,43.19086677064773,-177.9640418707086
