longitude,latitude,roads_centroids
-2.0242241314204934,48.598050361774725,-64.447586420372559
-2.024444872853308,48.60029382078487,-67.569341465011902
-2.0246656336562405,48.60253727757709,-76.938841894318642
-2.024886413831837,48.60478073214791,-92.55376567414217
-2.0251072133826464,48.60702418449377,-49.174230854988764
-2.025328032311213,48.60926763461117,-73.764196373806712
-2.0255488706200846,48.61151108249661,-51.889494879529423
-2.0257697283118095,48.613754528146565,-36.242071456872139
-2.025990605388937,48.61599797155752,-26.818308321632617
-2.0262115018540148,48.61824141272597,-23.614531035427596
-2.0264324177095916,48.620484851648385,-26.627116840434059
-2.026653352958217,48.62272828832126,-35.852617534608797
-2.026874307602444,48.62497172274108,-51.287940987413521
-2.027095281644819,48.627215154904334,-53.220984516337069
-2.0273162750878964,48.62945858480751,-36.110728761952515
-2.027537287934225,48.63170201244707,-24.948804545853015
-2.0277583201863583,48.63394543781953,-18.765030377066225
-2.0279793718468486,48.63618886092134,-17.306188044029085
-2.0282004429182496,48.63843228174902,-21.405297259957401
-2.028421533403111,48.640675700299035,-30.993435803932702
-2.02864264330399,48.64291911656786,-24.462189205860557
-2.0288637726234398,48.645162530552,-18.206926591693268
-2.029084921364014,48.64740594224792,-16.362518337141914
-2.0293060895282675,48.64964935165211,-16.725376186784857
-2.0295272771187576,48.651892758761065,-19.272033158707004
-2.0297484841380387,48.65413616357126,-26.468512672019841
-2.0299697105886683,48.656379566079174,-38.896956004291297
-2.030190956473202,48.6586229662813,-47.142632926544465
-2.0304122217941973,48.66086636417411,-80.84081965375394
-2.0306335065542127,48.6631097597541,-48.27831086166384
-2.0308548107558053,48.66535315301773,-161.93869152202052
-2.031076134401535,48.667596543961515,-48.91770139388295
-2.03129747749396,48.66983993258191,-252.84081634075287
-2.0315188400356394,48.672083318875416,-307.56191556454098
-2.0317402220291347,48.6743267028385,-368.47605821971638
-2.031961623477004,48.676570084467635,-435.58640463098959
-2.032183044381809,48.67881346375933,-508.89213369448407
-2.0324044847461127,48.68105684071007,-588.39008596022404
-2.0208417836335264,48.598196721007646,-43.843805899630922
-2.0210623773030725,48.60044018632182,-46.954698519606737
-2.0212829903298823,48.60268364941841,-56.303656853003943
-2.021503622716498,48.60492711029388,-50.00602551992597
-2.021724274465468,48.60717056894475,-48.365339293819616
-2.021944945579334,48.60941402536749,-68.517794957480987
-2.022165636060645,48.61165747955858,-46.565919856217405
-2.022386345911944,48.61390093151453,-31.079903827412945
-2.0226070751357796,48.616144381231784,-21.58606493476271
-2.022827823734699,48.61838782870688,-18.298264405670949
-2.0230485917112495,48.62063127393625,-21.211596528949848
-2.023269379067977,48.62287471691643,-30.32282367069929
-2.023490185807433,48.625118157643854,-45.629090528964312
-2.023711011932165,48.62736159611506,-44.598146504798123
-2.023931857444723,48.62960503232649,-33.287549267551711
-2.0241527223476554,48.631848466274654,-22.849078214125388
-2.0243736066435147,48.634091897956026,-17.423935469821366
-2.0245945103348486,48.6363353273671,-16.890812503583099
-2.0248154334242106,48.638578754504344,-21.36140713051714
-2.025036375914152,48.640822179364264,-22.787016724680313
-2.025257337807223,48.64306560194332,-20.475235741011875
-2.0254783191059773,48.645309022238024,-17.006774967378536
-2.025699319812968,48.64755244024483,-15.09738448098293
-2.0259203399307473,48.64979585596023,-15.263305706513323
-2.0261413794618712,48.652039269380715,-16.945055980245858
-2.026362438408892,48.654282680502774,-22.897831399979623
-2.0265835167743655,48.65652608932289,-34.38867337862925
-2.026804614560846,48.65876949583753,-47.083430034237722
-2.0270257317708897,48.6610129000432,-47.080177716060831
-2.027246868407052,48.66325630193636,-48.562635959056834
-2.02746802447189,48.6654997015135,-148.90919268141883
-2.02768919996796,48.6677430987711,-48.7671765854885
-2.027910394897819,48.669986493705665,-49.191769071856342
-2.0281316092640274,48.67222988631364,-293.81981887794063
-2.0283528430691415,48.67447327659153,-354.45929397282231
-2.0285740963157184,48.6767166645358,-421.28179151068036
-2.02879536900632,48.678960050142976,-494.29950220197276
-2.0290166611435048,48.68120343340951,-573.52192538516147
-2.01745941649184,48.598342981808614,-29.436620340957209
-2.0176798623955747,48.600586453422586,-32.496741077159911
-2.0179003276437157,48.6028299228193,-41.73092330107859
-2.018120812238807,48.605073389995255,-48.4977126585528
-2.018341316183392,48.6073168549469,-70.803155814502844
-2.018561839480013,48.60956031767075,-54.863262207468125
-2.018782382131214,48.61180377816328,-40.8463231501525
-2.0190029441395416,48.61404723642099,-30.255247061335236
-2.0192235255075395,48.616290692440344,-21.979318154853118
-2.0194441262377527,48.61853414621784,-18.610645305676965
-2.0196647463327277,48.62077759774996,-21.411821382005122
-2.0198853857950096,48.6230210470332,-30.41326915661649
-2.020106044627147,48.625264494064034,-35.88326253793538
-2.0203267228316864,48.627507938838946,-30.303562281499115
-2.0205474204111744,48.62975138135444,-26.975670816206232
-2.0207681373681616,48.63199482160698,-20.263687089880616
-2.0209888737051935,48.63423825959305,-16.887798044256353
-2.0212096294248223,48.63648169530914,-16.771967510319854
-2.021430404529594,48.63872512875176,-18.926150515869303
-2.0216511990220605,48.64096855991735,-17.576437046134366
-2.0218720129047716,48.64321198880242,-16.927855732087753
-2.022092846180279,48.645455415403454,-17.52778319206654
-2.022313698851133,48.647698839716924,-16.437900618142436
-2.022534570919885,48.64994226173932,-15.833604729000831
-2.0227554623890867,48.652185681467124,-16.985622808198258
-2.0229763732612924,48.65442909889683,-22.68349879873308
-2.023197303539055,48.656672514024905,-34.006122987507226
-2.0234182532249267,48.65891592684785,-47.200626751036296
-2.0236392223214623,48.66115933736212,-47.112214203042726
-2.0238602108312156,48.663402745564234,-105.36414180355976
-2.0240812187567414,48.66564615145066,-140.94258912863029
-2.0243022461005946,48.667889555017865,-182.68622738757767
-2.0245232928653327,48.67013295626235,-230.61339917194974
-2.0247443590535097,48.672376355180596,-284.70314805137838
-2.024965444667683,48.674619751769065,-344.68290478399132
-2.02518654971041,48.67686314602427,-409.79540823218082
-2.025407674184246,48.67910653794267,-480.34365973429095
-2.0256288180917528,48.681349927520756,-461.05187693394356
-2.01407703000829,48.598489144176796,-21.068050994026258
-2.01429732814367,48.60073262208635,-23.878957354356682
-2.014517645610602,48.602976097778985,-32.273374186533488
-2.014737982411624,48.60521957125116,-44.251168243553821
-2.0149583385492797,48.607463042499376,-48.780560004519359
-2.015178714026111,48.60970651152012,-44.453072812151561
-2.015399108844661,48.61194997830987,-31.347800498021062
-2.01561952300747,48.61419344286512,-23.840412270137048
-2.015839956517085,48.61643690518235,-19.891909594278484
-2.0160604093760455,48.618680365258044,-20.649656738688577
-2.0162808815868987,48.620923823088695,-26.642100032183222
-2.0165013731521872,48.62316727867077,-28.831020351418633
-2.016721884074459,48.62541073200077,-24.530828029858451
-2.016942414356258,48.6276541830752,-21.923708885617994
-2.01716296400013,48.62989763189052,-19.394184028882776
-2.0173835330086214,48.632141078443205,-18.318461254934231
-2.017604121384279,48.63438452272977,-17.260414859470558
-2.0178247291296496,48.63662796474668,-16.584447224533562
-2.018045356247283,48.63887140449041,-16.311434834166775
-2.0182660027397255,48.64111484195747,-16.918466407643901
-2.0184866686095266,48.64335827714432,-17.698455853972462
-2.0187073538592344,48.645601710047465,-18.618560692039349
-2.0189280584913996,48.64784514066337,-17.741155211027774
-2.019148782508571,48.65008856898853,-16.97061878169087
-2.0193695259133015,48.65233199501944,-17.606055406158696
-2.019590288708139,48.654575418752565,-22.395341024996185
-2.0198110708956367,48.656818840184386,-32.973744870824056
-2.0200318724783455,48.6590622593114,-46.406834383669619
-2.0202526934588185,48.66130567613008,-47.151619541583287
-2.0204735338396076,48.66354909063692,-47.107230067713459
-2.0206943936232657,48.66579250282838,-135.13729161957619
-2.020915272812348,48.66803591270098,-174.82265768482688
-2.0211361714094065,48.67027932025117,-48.693579229128034
-2.0213570894169957,48.672522725475446,-272.058041707087
-2.0215780268376724,48.67476612837028,-70.971221557112429
-2.02179898367399,48.677009528932174,-365.75011374095578
-2.022019959928506,48.67925292715759,-440.64042358740357
-2.0222409556037753,48.681496323043014,-390.19110877758959
-2.0106946241957293,48.598635208111325,-18.212204682994425
-2.010914774560214,48.600878692312264,-19.723238978259189
-2.0111349442433935,48.603122174296594,-25.293147920575461
-2.0113551332478057,48.6053656540608,-31.044257415249827
-2.011575341575992,48.607609131601365,-32.879735869711169
