longitude,latitude,light_pollution
-2.0242241314204934,48.598050361774725,0.816488
-2.024444872853308,48.60029382078487,0.816488
-2.0246656336562405,48.60253727757709,1.2122
-2.024886413831837,48.60478073214791,1.2122
-2.0251072133826464,48.60702418449377,1.38089
-2.025328032311213,48.60926763461117,1.38089
-2.0255488706200846,48.61151108249661,2.3602
-2.0257697283118095,48.613754528146565,2.3602
-2.025990605388937,48.61599797155752,3.48225
-2.0262115018540148,48.61824141272597,3.48225
-2.0264324177095916,48.620484851648385,3.76363
-2.026653352958217,48.62272828832126,3.76363
-2.026874307602444,48.62497172274108,3.79145
-2.027095281644819,48.627215154904334,5.45807
-2.0273162750878964,48.62945858480751,5.45807
-2.027537287934225,48.63170201244707,8.82368
-2.0277583201863583,48.63394543781953,8.82368
-2.0279793718468486,48.63618886092134,14.304
-2.0282004429182496,48.63843228174902,14.304
-2.028421533403111,48.640675700299035,24.8817
-2.02864264330399,48.64291911656786,24.8817
-2.0288637726234398,48.645162530552,25.9417
-2.029084921364014,48.64740594224792,25.9417
-2.0293060895282675,48.64964935165211,21.0897
-2.0295272771187576,48.651892758761065,21.0897
-2.0297484841380387,48.65413616357126,8.27552
-2.0299697105886683,48.656379566079174,1.58091
-2.030190956473202,48.6586229662813,1.58091
-2.0304122217941973,48.66086636417411,0.922944
-2.0306335065542127,48.6631097597541,0.922944
-2.0308548107558053,48.66535315301773,0.73747
-2.031076134401535,48.667596543961515,0.73747
-2.03129747749396,48.66983993258191,0.620384
-2.0315188400356394,48.672083318875416,0.620384
-2.0317402220291347,48.6743267028385,0.526531
-2.031961623477004,48.676570084467635,0.526531
-2.032183044381809,48.67881346375933,0.498018
-2.0324044847461127,48.68105684071007,0.498018
-2.0208417836335264,48.598196721007646,0.920777
-2.0210623773030725,48.60044018632182,0.920777
-2.0212829903298823,48.60268364941841,1.18767
-2.021503622716498,48.60492711029388,1.18767
-2.021724274465468,48.60717056894475,1.3324
-2.021944945579334,48.60941402536749,1.3324
-2.022165636060645,48.61165747955858,1.75588
-2.022386345911944,48.61390093151453,1.75588
-2.0226070751357796,48.616144381231784,3.23165
-2.022827823734699,48.61838782870688,3.23165
-2.0230485917112495,48.62063127393625,3.76363
-2.023269379067977,48.62287471691643,3.76363
-2.023490185807433,48.625118157643854,3.79145
-2.023711011932165,48.62736159611506,6.84693
-2.023931857444723,48.62960503232649,6.84693
-2.0241527223476554,48.631848466274654,17.6035
-2.0243736066435147,48.634091897956026,17.6035
-2.0245945103348486,48.6363353273671,31.432
-2.0248154334242106,48.638578754504344,31.432
-2.025036375914152,48.640822179364264,57.1852
-2.025257337807223,48.64306560194332,57.1852
-2.0254783191059773,48.645309022238024,47.2252
-2.025699319812968,48.64755244024483,47.2252
-2.0259203399307473,48.64979585596023,33.111
-2.0261413794618712,48.652039269380715,33.111
-2.026362438408892,48.654282680502774,13.4462
-2.0265835167743655,48.65652608932289,2.09514
-2.026804614560846,48.65876949583753,2.09514
-2.0270257317708897,48.6610129000432,1.0567
-2.027246868407052,48.66325630193636,0.922944
-2.02746802447189,48.6654997015135,0.73747
-2.02768919996796,48.6677430987711,0.73747
-2.027910394897819,48.669986493705665,0.615892
-2.0281316092640274,48.67222988631364,0.615892
-2.0283528430691415,48.67447327659153,0.55296
-2.0285740963157184,48.6767166645358,0.55296
-2.02879536900632,48.678960050142976,0.48473
-2.0290166611435048,48.68120343340951,0.48473
-2.01745941649184,48.598342981808614,1.05858
-2.0176798623955747,48.600586453422586,1.05858
-2.0179003276437157,48.6028299228193,1.27223
-2.018120812238807,48.605073389995255,1.27223
-2.018341316183392,48.6073168549469,1.23862
-2.018561839480013,48.60956031767075,1.23862
-2.018782382131214,48.61180377816328,1.75588
-2.0190029441395416,48.61404723642099,1.75588
-2.0192235255075395,48.616290692440344,3.23165
-2.0194441262377527,48.61853414621784,3.23165
-2.0196647463327277,48.62077759774996,3.82676
-2.0198853857950096,48.6230210470332,4.63857
-2.020106044627147,48.625264494064034,4.63857
-2.0203267228316864,48.627507938838946,15.9444
-2.0205474204111744,48.62975138135444,15.9444
-2.0207681373681616,48.63199482160698,25.9314
-2.0209888737051935,48.63423825959305,25.9314
-2.0212096294248223,48.63648169530914,41.7421
-2.021430404529594,48.63872512875176,41.7421
-2.0216511990220605,48.64096855991735,71.1092
-2.0218720129047716,48.64321198880242,71.1092
-2.022092846180279,48.645455415403454,65.1919
-2.022313698851133,48.647698839716924,65.1919
-2.022534570919885,48.64994226173932,39.7939
-2.0227554623890867,48.652185681467124,19.8581
-2.0229763732612924,48.65442909889683,13.4462
-2.023197303539055,48.656672514024905,2.09514
-2.0234182532249267,48.65891592684785,2.09514
-2.0236392223214623,48.66115933736212,1.0567
-2.0238602108312156,48.663402745564234,1.0567
-2.0240812187567414,48.66564615145066,0.830467
-2.0243022461005946,48.667889555017865,0.830467
-2.0245232928653327,48.67013295626235,0.685965
-2.0247443590535097,48.672376355180596,0.685965
-2.024965444667683,48.674619751769065,0.608074
-2.02518654971041,48.67686314602427,0.608074
-2.025407674184246,48.67910653794267,0.51508
-2.0256288180917528,48.681349927520756,0.440214
-2.01407703000829,48.598489144176796,1.66546
-2.01429732814367,48.60073262208635,1.66546
-2.014517645610602,48.602976097778985,1.78913
-2.014737982411624,48.60521957125116,1.27223
-2.0149583385492797,48.607463042499376,1.23862
-2.015178714026111,48.60970651152012,1.23862
-2.015399108844661,48.61194997830987,1.55691
-2.01561952300747,48.61419344286512,1.55691
-2.015839956517085,48.61643690518235,2.91864
-2.0160604093760455,48.618680365258044,2.91864
-2.0162808815868987,48.620923823088695,5.60986
-2.0165013731521872,48.62316727867077,9.11645
-2.016721884074459,48.62541073200077,9.11645
-2.016942414356258,48.6276541830752,18.4692
-2.01716296400013,48.62989763189052,18.4692
-2.0173835330086214,48.632141078443205,35.2929
-2.017604121384279,48.63438452272977,35.2929
-2.0178247291296496,48.63662796474668,53.9744
-2.018045356247283,48.63887140449041,53.9744
-2.0182660027397255,48.64111484195747,72.9849
-2.0184866686095266,48.64335827714432,72.9849
